"ticker","entity","concept","fy","fp","form","start","end","days","val","filed","accn","frame"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2020","Q3","10-Q","2020-02-03","2020-11-01","272","1567000000","2020-11-24","0000354950-20-000103",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2021","Q3","10-Q","2020-02-03","2020-11-01","272","1567000000","2021-11-23","0000354950-21-000234",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2020","Q3","10-Q","2020-08-03","2020-11-01","90","528000000","2020-11-24","0000354950-20-000103",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2021","Q3","10-Q","2020-08-03","2020-11-01","90","528000000","2021-11-23","0000354950-21-000234","CY2020Q3"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2020","FY","10-K","2020-02-03","2021-01-31","363","2128000000","2021-03-24","0000354950-21-000089",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2021","FY","10-K","2020-02-03","2021-01-31","363","2128000000","2022-03-23","0000354950-22-000070",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2022","FY","10-K","2020-02-03","2021-01-31","363","2128000000","2023-03-15","0000354950-23-000059","CY2020"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2021","Q1","10-Q","2021-02-01","2021-05-02","90","587000000","2021-05-25","0000354950-21-000147",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2022","Q1","10-Q","2021-02-01","2021-05-02","90","587000000","2022-05-24","0000354950-22-000158","CY2021Q1"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2021","Q2","10-Q","2021-02-01","2021-08-01","181","1180000000","2021-08-24","0000354950-21-000189",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2022","Q2","10-Q","2021-02-01","2021-08-01","181","1180000000","2022-08-23","0000354950-22-000193",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2021","Q2","10-Q","2021-05-03","2021-08-01","90","593000000","2021-08-24","0000354950-21-000189",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2022","Q2","10-Q","2021-05-03","2021-08-01","90","593000000","2022-08-23","0000354950-22-000193","CY2021Q2"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2021","Q3","10-Q","2021-02-01","2021-10-31","272","1780000000","2021-11-23","0000354950-21-000234",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2022","Q3","10-Q","2021-02-01","2021-10-31","272","1780000000","2022-11-22","0000354950-22-000239",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2021","Q3","10-Q","2021-08-02","2021-10-31","90","600000000","2021-11-23","0000354950-21-000234",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2022","Q3","10-Q","2021-08-02","2021-10-31","90","600000000","2022-11-22","0000354950-22-000239","CY2021Q3"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2021","FY","10-K","2021-02-01","2022-01-30","363","2386000000","2022-03-23","0000354950-22-000070",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2022","FY","10-K","2021-02-01","2022-01-30","363","2386000000","2023-03-15","0000354950-23-000059",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2023","FY","10-K","2021-02-01","2022-01-30","363","2386000000","2024-03-13","0000354950-24-000062","CY2021"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2022","Q1","10-Q","2022-01-31","2022-05-01","90","606000000","2022-05-24","0000354950-22-000158",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2023","Q1","10-Q","2022-01-31","2022-05-01","90","606000000","2023-05-23","0000354950-23-000144","CY2022Q1"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2022","Q2","10-Q","2022-01-31","2022-07-31","181","1222000000","2022-08-23","0000354950-22-000193",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2023","Q2","10-Q","2022-01-31","2022-07-31","181","1222000000","2023-08-22","0000354950-23-000185",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2022","Q2","10-Q","2022-05-02","2022-07-31","90","616000000","2022-08-23","0000354950-22-000193",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2023","Q2","10-Q","2022-05-02","2022-07-31","90","616000000","2023-08-22","0000354950-23-000185","CY2022Q2"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2022","Q3","10-Q","2022-01-31","2022-10-30","272","1830000000","2022-11-22","0000354950-22-000239",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2023","Q3","10-Q","2022-01-31","2022-10-30","272","1830000000","2023-11-21","0000354950-23-000240",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2022","Q3","10-Q","2022-08-01","2022-10-30","90","608000000","2022-11-22","0000354950-22-000239",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2023","Q3","10-Q","2022-08-01","2022-10-30","90","608000000","2023-11-21","0000354950-23-000240","CY2022Q3"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2022","FY","10-K","2022-01-31","2023-01-29","363","2455000000","2023-03-15","0000354950-23-000059",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2023","FY","10-K","2022-01-31","2023-01-29","363","2455000000","2024-03-13","0000354950-24-000062",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2024","FY","10-K","2022-01-31","2023-01-29","363","2455000000","2025-03-21","0000354950-25-000085","CY2022"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2023","Q1","10-Q","2023-01-30","2023-04-30","90","651000000","2023-05-23","0000354950-23-000144",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2024","Q1","10-Q","2023-01-30","2023-04-30","90","651000000","2024-05-21","0000354950-24-000152","CY2023Q1"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2023","Q2","10-Q","2023-01-30","2023-07-30","181","1304000000","2023-08-22","0000354950-23-000185",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2024","Q2","10-Q","2023-01-30","2023-07-30","181","1304000000","2024-08-20","0000354950-24-000201",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2023","Q2","10-Q","2023-05-01","2023-07-30","90","653000000","2023-08-22","0000354950-23-000185",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2024","Q2","10-Q","2023-05-01","2023-07-30","90","653000000","2024-08-20","0000354950-24-000201","CY2023Q2"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2023","Q3","10-Q","2023-01-30","2023-10-29","272","1987000000","2023-11-21","0000354950-23-000240",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2024","Q3","10-Q","2023-01-30","2023-10-29","272","1987000000","2024-11-19","0000354950-24-000240",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2023","Q3","10-Q","2023-07-31","2023-10-29","90","683000000","2023-11-21","0000354950-23-000240",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2024","Q3","10-Q","2023-07-31","2023-10-29","90","683000000","2024-11-19","0000354950-24-000240","CY2023Q3"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2023","FY","10-K","2023-01-30","2024-01-28","363","2673000000","2024-03-13","0000354950-24-000062",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2024","FY","10-K","2023-01-30","2024-01-28","363","2673000000","2025-03-21","0000354950-25-000085",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2025","FY","10-K","2023-01-30","2024-01-28","363","2673000000","2026-03-18","0001628280-26-019436","CY2023"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2024","Q1","10-Q","2024-01-29","2024-04-28","90","687000000","2024-05-21","0000354950-24-000152",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2025","Q1","10-Q","2024-01-29","2024-04-28","90","687000000","2025-05-28","0000354950-25-000165","CY2024Q1"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2024","Q2","10-Q","2024-01-29","2024-07-28","181","1425000000","2024-08-20","0000354950-24-000201",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2025","Q2","10-Q","2024-01-29","2024-07-28","181","1425000000","2025-08-26","0000354950-25-000217",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2024","Q2","10-Q","2024-04-29","2024-07-28","90","738000000","2024-08-20","0000354950-24-000201",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2025","Q2","10-Q","2024-04-29","2024-07-28","90","738000000","2025-08-26","0000354950-25-000217","CY2024Q2"
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2024","Q3","10-Q","2024-01-29","2024-10-27","272","2220000000","2024-11-19","0000354950-24-000240",""
"HD","The Home Depot, Inc.","DepreciationAndAmortization","2025","Q3","10-Q","2024-01-29","2024-10-27","272","2220000000","2025-11-25","0001628280-25-053868",""
